id;nom;observable;etat;remarques
1;Electronics non-volatile Île-de-France;Rustic EXE;OK;Berkshire a
2;c;Steel cross-platform Borders;KO;productivity a bypassing
3;utilize;iterate;KO;online Chips
4;analyzer Provence;Handmade array;OK;optimizing
5;program neural;magenta Unbranded Rufiyaa;OK;PCI
6;Liberia;de quantify;KO;Chair integrated digital
7;USB connecting transition;Books Fish groupware;KO;Account
8;PNG Books;Bourgogne a a;WARNING;up Philippines
9;program hacking;Realigned mission-critical;WARNING;primary Cloned Royale
10;Quetzal;Cambridgeshire incentivize Lek;OK;Granite synergize
