id;creation;emission;second_date
1;c Incredible;Rosiers Developpeur bluetooth;Saint-Séverin Coordinateur connecting
2;Refined bypass paradigms;Borders sensor;withdrawal
3;Peso;pixel black haptic;AGP
4;orange transmitting Streamlined;Avon Lettonie hacking;protocol Serbie
5;withdrawal Administrateur;back-end Cheese Rhône-Alpes;b
6;c Future-proofed c;Bedfordshire violet;Bedfordshire bandwidth Danish
7;turquoise Cheese;eyeballs des;Berkshire
8;Account Home;Stagiaire Berkshire withdrawal;c brand
9;intranet;Steel Account drive;Computer
10;Oberkampf Jewelery Poitou-Charentes;Frozen;task-force quantifying
